author,title,discovery,link,id_system,id_ref
Chen et al. 2012 [ApJ755(2012)24],X-Ray Monitoring of Gravitational Lenses with Chandra,,http://admin.masterlens.org/citation.php?referenceID=4293&,141,210
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,141,211
Blackburne et al. 2011 [ApJ729(2011)34],Sizes and Temperature Profiles of Quasar Accretion Disks from Chromatic Microlensing,,http://admin.masterlens.org/citation.php?referenceID=1001&,141,212
Fassnacht et al. 2011 [MNRAS410(2011)2167],Galaxy number counts and implications for strong lensing,,http://admin.masterlens.org/citation.php?referenceID=582&,141,213
Faure 2011 [A&A536(2011)29],VLT adaptive optics search for luminous substructures in the lens galaxy towards SDSS J0924+0219,,http://admin.masterlens.org/citation.php?referenceID=169&,141,214
Chantry et al. 2010 [A&A522(2010)A95],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VIII. Deconvolution of high resolution near-IR images and simple mass models for 7 gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=239&,141,215
Schneider et al. 2010 [AstronJ139(2010)2360],The Sloan Digital Sky Survey Quasar Catalog. V. Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=353&,141,216
Floyd et al. 2009 [MNRAS398(2009)233],The accretion disc in the quasar SDSS J0924+0219,,http://admin.masterlens.org/citation.php?referenceID=1653&,141,217
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&,141,218
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&,141,219
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&,141,220
Morgan et al. 2008 [ApJ689(2008)755],X-Ray and Optical Microlensing in the Lensed Quasar PG 1115+080,,http://admin.masterlens.org/citation.php?referenceID=202&,141,221
Oguri et al. 2008 [MNRAS391(2008)1973],Mass models and environment of the new quadruply lensed quasar SDSS J1330+1810,,http://admin.masterlens.org/citation.php?referenceID=13&,141,222
Pooley et al. 2007 [ApJ661(2007)19],X-Ray and Optical Flux Ratio Anomalies in Quadruply Lensed Quasars. I. Zooming in on Quasar Emission Regions,,http://admin.masterlens.org/citation.php?referenceID=778&,141,223
Peng et al. 2006 [ApJ649(2006)616],Probing the Coevolution of Supermassive Black Holes and Galaxies Using Gravitationally Lensed Quasar Hosts,,http://admin.masterlens.org/citation.php?referenceID=397&,141,224
Saha et al. 2006 [A&A450(2006)461],COSMOGRAIL: the COSmological MOnitoring of GRAvItational Lenses. IV. Models of prospective time-delay lenses,,http://admin.masterlens.org/citation.php?referenceID=517&,141,225
Keeton et al. 2006 [ApJ639(2006)1],"Differential Microlensing of the Continuum and Broad Emission Lines in SDSS J0924+0219, the Most Anomalous Lensed Quasar",,http://admin.masterlens.org/citation.php?referenceID=2878&,141,226
Eigenbrod et al. 2006 [A&A451(2006)747],"COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. II. SDSS J0924+0219: the redshift of the lensing galaxy, the quasar spectral variability and the Einstein rings",,http://admin.masterlens.org/citation.php?referenceID=264&,141,227
Morgan et al. 2006 [ApJ647(2006)874],Microlensing of the Lensed Quasar SDSS 0924+0219,,http://admin.masterlens.org/citation.php?referenceID=2877&,141,228
Ofek et al. 2006 [ApJ641(2006)70],Spectroscopic Redshifts for Seven Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=236&,141,229
Inada et al. 2003 [AstronJ126(2003)666],SDSS J092455.87+021924.9: An Interesting Gravitationally Lensed Quasar from the Sloan Digital Sky Survey,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=59&,141,230
Sonnenfeld et al. 2012 [ApJ752(2012)163],Evidence for Dark Matter Contraction and a Salpeter Initial Mass Function in a Massive Early-type Galaxy,,http://admin.masterlens.org/citation.php?referenceID=232&,142,231
Vegetti et al. 2012 [Nat481(2012)341],Gravitational detection of a low-mass dark satellite galaxy at cosmological distance,,http://admin.masterlens.org/citation.php?referenceID=113&,142,232
Suyu et al. 2010 [ApJ711(2010)201],"Dissecting  the Gravitational lens B1608+656. II. Precision Measurements of the Hubble Constant, Spatial Curvature, and the Dark Energy Equation of State",,http://admin.masterlens.org/citation.php?referenceID=96&,142,233
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,142,234
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,142,235
Tu 2009 [A&A501(2009)475],The  mass profile of early-type galaxies in overdense environments: the case  of the double source-plane gravitational lens SL2SJ02176-0513,,http://admin.masterlens.org/citation.php?referenceID=156&,142,236
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=229&,142,237
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,143,238
McGreer et al. 2010 [AstronJ140(2010)370],SDSS J094604.90+183541.8: A Gravitationally Lensed Quasar at z = 4.8,,http://admin.masterlens.org/citation.php?referenceID=22&,143,239
Riechers et al. 2008 [ApJ686(2008)851],A Molecular Einstein Ring at z = 4.12: Imaging the Dynamics of a Quasar Host Galaxy Through a Cosmic Lens,,http://admin.masterlens.org/citation.php?referenceID=309&,143,240
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&,143,241
Auger et al. 2007 [AstronJ134(2007)668],The Gravitational Lens-Galaxy Group Connection. II. Groups Associated with B2319+051 and B1600+434,,http://admin.masterlens.org/citation.php?referenceID=84&,143,242
Eigenbrod et al. 2007 [A&A465(2007)51],COSMOGRAIL:  the COSmological MOnitoring of GRAvItational Lenses. VI. Redshift of the lensing galaxy in seven gravitationally lensed quasars,,http://admin.masterlens.org/citation.php?referenceID=262&,143,243
Williams et al. 2006 [ApJ646(2006)85],First Results from a Photometric Survey of Strong Gravitational Lens Environments,,http://admin.masterlens.org/citation.php?referenceID=318&,143,244
Momcheva et al. 2006 [ApJ641(2006)169],A Spectroscopic Study of the Environments of Gravitational Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=279&,143,245
Ofek et al. 2006 [ApJ641(2006)70],Spectroscopic Redshifts for Seven Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=236&,143,246
Cox et al. 2002 [A&A387(2002)406],CO and Dust in PSS 2322+1944 at a redshift of 4.12,,http://admin.masterlens.org/citation.php?referenceID=290&,143,247
Kochanek et al. 2000 [ApJ543(2000)131],The Fundamental Plane of Gravitational Lens Galaxies and The Evolution of Early-Type Galaxies in Low-Density Environments,,http://admin.masterlens.org/citation.php?referenceID=302&,143,248
Kochanek et al. 2000 [ApJ535(2000)692],The Infrared Einstein Ring in the Gravitational Lens MG J1131+0456 and the Death of the Dusty Lens Hypothesis,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=312&,143,249
Leh'ar et al. 2000 [ApJ536(2000)584],Hubble Space Telescope Observations of 10 Two-Image Gravitational Lenses,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=242&,143,250
Orban de Xivry et al. 2009 [MNRAS399(2009)2],An atlas of predicted exotic gravitational lenses,,http://admin.masterlens.org/citation.php?referenceID=477&,144,251
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,144,252
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,144,253
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,,http://admin.masterlens.org/citation.php?referenceID=229&,144,254
Bolton et al. 2006 [ApJ638(2006)703],The Sloan Lens ACS Survey. I. A Large Spectroscopically Selected Sample of Massive Early-Type Lens Galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=226&,144,255
Sonnenfeld et al. 2013 [arXiv1307.4759],"The  SL2S Galaxy-scale Lens Sample. IV. The dependence of the total mass density profile of early-type galaxies on redshift, stellar mass, and size",,http://admin.masterlens.org/citation.php?referenceID=4316&,145,256
Sonnenfeld et al. 2013 [arXiv1307.4764],"The SL2S Galaxy-scale Lens Sample. III. Lens Models, Surface Photometry and Stellar Masses for the final sample",,http://admin.masterlens.org/citation.php?referenceID=4315&,145,257
Faure 2011 [A&A529(2011)72],On the evolution of environmental and mass properties of strong lens galaxies in COSMOS,,http://admin.masterlens.org/citation.php?referenceID=141&,145,258
Anguita et al. 2009 [A&A507(2009)35],COSMOS 5921+0638: characterization and analysis of a new strong gravitationally lensed AGN,,http://admin.masterlens.org/citation.php?referenceID=14&,145,259
Faure et al. 2008 [ApJS176(2008)19],First Catalog of Strong Lens Candidates in the COSMOS Field,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=139&,145,260
Auger et al. 2009 [ApJ705(2009)1099],"The Sloan Lens ACS Survey. IX. Colors, Lensing, and Stellar Masses of Early-Type Galaxies",,http://admin.masterlens.org/citation.php?referenceID=20&,146,261
Newton et al. 2009 [ApJ696(2009)1125],Enhanced Lensing Rate by Clustering of Massive Galaxies: Newly Discovered Systems in the Slacs Fields,,http://admin.masterlens.org/citation.php?referenceID=19&,146,262
Bolton et al. 2008 [ApJ682(2008)964],The Sloan Lens ACS Survey. V. The Full ACS Strong-Lens Sample,,http://admin.masterlens.org/citation.php?referenceID=229&,146,263
Bolton et al. 2006 [ApJ638(2006)703],The Sloan Lens ACS Survey. I. A Large Spectroscopically Selected Sample of Massive Early-Type Lens Galaxies,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=226&,146,264
Faure 2011 [A&A529(2011)72],On the evolution of environmental and mass properties of strong lens galaxies in COSMOS,,http://admin.masterlens.org/citation.php?referenceID=141&,147,265
Faure et al. 2008 [ApJS176(2008)19],First Catalog of Strong Lens Candidates in the COSMOS Field,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=139&,147,266
Inada et al. 2012 [AstronJ143(2012)119],The Sloan Digital Sky Survey Quasar Lens Search. V. Final Catalog from the Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=295&,148,267
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,148,268
Assef et al. 2011 [ApJ742(2011)93],Black Hole Mass Estimates Based on C IV are Consistent with Those Based on the Balmer Lines,,http://admin.masterlens.org/citation.php?referenceID=752&,148,269
Suyu et al. 2010 [ApJ711(2010)201],"Dissecting  the Gravitational lens B1608+656. II. Precision Measurements of the Hubble Constant, Spatial Curvature, and the Dark Energy Equation of State",,http://admin.masterlens.org/citation.php?referenceID=96&,148,270
Schneider et al. 2010 [AstronJ139(2010)2360],The Sloan Digital Sky Survey Quasar Catalog. V. Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=353&,148,271
Oguri et al. 2010 [MNRAS405(2010)2579],Gravitationally lensed quasars and supernovae in future wide-field optical imaging surveys,,http://admin.masterlens.org/citation.php?referenceID=587&,148,272
Inada et al. 2010 [AstronJ140(2010)403],The Sloan Digital Sky Survey Quasar Lens Search. IV. Statistical Lens Sample from the Fifth Data Release,,http://admin.masterlens.org/citation.php?referenceID=974&,148,273
Tu 2009 [A&A501(2009)475],The  mass profile of early-type galaxies in overdense environments: the case  of the double source-plane gravitational lens SL2SJ02176-0513,,http://admin.masterlens.org/citation.php?referenceID=156&,148,274
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&,148,275
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&,148,276
Moustakas et al. 2007 [ApJL660(2007)L31],A Strong-Lens Survey in AEGIS: The Influence of Large-Scale Structure,,http://admin.masterlens.org/citation.php?referenceID=144&,148,277
Alloin et al. 2007 [A&A470(2007)53],"Dust and molecular content of the lensed quasar, MG0751+2716, at z = 3.2",,http://admin.masterlens.org/citation.php?referenceID=247&,148,278
Saha et al. 2006 [ApJL650(2006)L17],The Hubble Time Inferred from 10 Time Delay Lenses,,http://admin.masterlens.org/citation.php?referenceID=513&,148,279
Saha et al. 2006 [A&A450(2006)461],COSMOGRAIL: the COSmological MOnitoring of GRAvItational Lenses. IV. Models of prospective time-delay lenses,,http://admin.masterlens.org/citation.php?referenceID=517&,148,280
Fassnacht et al. 2006 [ApJ642(2006)30],Mass along the Line of Sight to the Gravitational Lens B1608+656: Galaxy Groups and Implications for H_0,,http://admin.masterlens.org/citation.php?referenceID=93&,148,281
Hennawi et al. 2006 [AstronJ131(2006)1],Binary Quasars in the Sloan Digital Sky Survey: Evidence for Excess Clustering on Small Scales,,http://admin.masterlens.org/citation.php?referenceID=999&,148,282
Inada et al. 2006 [AstronJ131(2006)1934],SDSS J0806+2006 and SDSS J1353+1138: Two New Gravitationally Lensed Quasars from the Sloan Digital Sky Survey,,http://admin.masterlens.org/citation.php?referenceID=5&,148,283
Liesenborgs et al. 2006 [MNRAS367(2006)1209],A genetic algorithm for the non-parametric inversion of strong lensing systems,,http://admin.masterlens.org/citation.php?referenceID=2683&,148,284
Inada et al. 2005 [AstronJ130(2005)1967],SDSS J024634.11-082536.2: A New Gravitationally Lensed Quasar from the Sloan Digital Sky Survey,,http://admin.masterlens.org/citation.php?referenceID=3&,148,285
Oguri et al. 2005 [ApJ622(2005)106],Discovery of Two Gravitationally Lensed Quasars with Image Separations of 3,,http://admin.masterlens.org/citation.php?referenceID=60&,148,286
Sand et al. 2005 [ApJ627(2005)32],A Systematic Search for Gravitationally Lensed Arcs in the Hubble Space Telescope WFPC2 Archive,,http://admin.masterlens.org/citation.php?referenceID=207&,148,287
York et al. 2005 [MNRAS357(2005)124],The Hubble constant from the gravitational lens CLASS B0218+357 using the Advanced Camera for Surveys,,http://admin.masterlens.org/citation.php?referenceID=134&,148,288
Oguri et al. 2004 [ApJ605(2004)78],Observations and Theoretical Implications of the Large-Separation Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=61&,148,289
Johnston et al. 2003 [AstronJ126(2003)2281],SDSS J090334.92+502819.2: A New Gravitational Lens,,http://admin.masterlens.org/citation.php?referenceID=58&,148,290
Koopmans et al. 2003 [ApJ599(2003)70],The Hubble Constant from the Gravitational Lens B1608+656,,http://admin.masterlens.org/citation.php?referenceID=92&,148,291
Winn et al. 2003 [ApJ587(2003)80],Investigation of the Possible Third Image and Mass Models of the Gravitational Lens PMN J1632-0033,,http://admin.masterlens.org/citation.php?referenceID=308&,148,292
Weymann et al. 1979 [ApJL233(1979)L43],"Multiple-mirror telescope observations of the twin QSOs 0957+561 A, B",Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=151&,148,293
Inada et al. 2012 [AstronJ143(2012)119],The Sloan Digital Sky Survey Quasar Lens Search. V. Final Catalog from the Seventh Data Release,,http://admin.masterlens.org/citation.php?referenceID=295&,149,294
Chen et al. 2012 [ApJ755(2012)24],X-Ray Monitoring of Gravitational Lenses with Chandra,,http://admin.masterlens.org/citation.php?referenceID=4293&,149,295
Mosquera et al. 2011 [ApJ738(2011)96],The Microlensing Properties of a Sample of 87 Lensed Quasars,,http://admin.masterlens.org/citation.php?referenceID=238&,149,296
Jackson 2011 [ApJL739(2011)L28],The Faintest Radio Source Yet: Expanded Very Large Array Observations of the Gravitational Lens SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=616&,149,297
Fassnacht et al. 2011 [MNRAS410(2011)2167],Galaxy number counts and implications for strong lensing,,http://admin.masterlens.org/citation.php?referenceID=582&,149,298
Oguri 2010 [PASJ62(2010)1017],The Mass Distribution of SDSS J1004+4112 Revisited,,http://admin.masterlens.org/citation.php?referenceID=983&,149,299
Liesenborgs et al. 2009 [MNRAS397(2009)341],Non-parametric strong lens inversion of SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=985&,149,300
Mediavilla et al. 2009 [ApJ706(2009)1451],Microlensing-based Estimate of the Mass Fraction in Compact Objects in Lens Galaxies,,http://admin.masterlens.org/citation.php?referenceID=764&,149,301
Inada et al. 2008 [PASJ60(2008)L27],Spectroscopic Confirmation of the Fifth Image of SDSS J1004+4112 and Implications for the M_BH--σ_* Relation at z = 0.68,,http://admin.masterlens.org/citation.php?referenceID=2606&,149,302
Oguri et al. 2008 [ApJL676(2008)L1],The Third Image of the Large-Separation Lensed Quasar SDSS J1029+2623,,http://admin.masterlens.org/citation.php?referenceID=63&,149,303
Ostman et al. 2008 [A&A485(2008)403],Extinction properties of lensing galaxies,,http://admin.masterlens.org/citation.php?referenceID=456&,149,304
Inada et al. 2008 [AstronJ135(2008)496],The Sloan Digital Sky Survey Quasar Lens Search. II. Statistical Lens Sample from the Third Data Release,,http://admin.masterlens.org/citation.php?referenceID=64&,149,305
Fohlmeister et al. 2008 [ApJ676(2008)761],The Rewards of Patience: An 822 Day Time Delay in the Gravitational Lens SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=2670&,149,306
Fohlmeister et al. 2007 [ApJ662(2007)62],A Time Delay for the Cluster-Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=2673&,149,307
Saha et al. 2006 [ApJL652(2006)L5],Two Strong-Lensing Clusters Confront Universal Dark Matter Profiles,,http://admin.masterlens.org/citation.php?referenceID=2892&,149,308
G'omez-'Alvarez et al. 2006 [ApJL645(2006)L5],Recurrence of the Blue Wing Enhancements in the High-Ionization Lines of SDSS 1004+4112A,,http://admin.masterlens.org/citation.php?referenceID=2895&,149,309
Lamer et al. 2006 [A&A454(2006)493],Strange magnification pattern in the large separation lens SDSS J1004+4112 from optical to X-rays,,http://admin.masterlens.org/citation.php?referenceID=2894&,149,310
Ota et al. 2006 [ApJ647(2006)215],Chandra  Observations of SDSS J1004+4112: Constraints on the Lensing Cluster and  Anomalous X-Ray Flux Ratios of the Quadruply Imaged Quasar,,http://admin.masterlens.org/citation.php?referenceID=2893&,149,311
Inada et al. 2005 [PASJ57(2005)L7],Discovery of a Fifth Image of the Large Separation Gravitationally Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=62&,149,312
Sharon et al. 2005 [ApJL629(2005)L73],Discovery of Multiply Imaged Galaxies behind the Cluster and Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=2898&,149,313
Williams et al. 2004 [AstronJ128(2004)2631],Models of the Giant Quadruple Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=806&,149,314
Richards et al. 2004 [ApJ610(2004)679],Microlensing of the Broad Emission Line Region in the Quadruple Lens SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=1506&,149,315
Oguri et al. 2004 [ApJ605(2004)78],Observations and Theoretical Implications of the Large-Separation Lensed Quasar SDSS J1004+4112,,http://admin.masterlens.org/citation.php?referenceID=61&,149,316
Inada et al. 2003 [Nat426(2003)810],A gravitationally lensed quasar with quadruple images separated by 14.62arcseconds,Discovery Paper,http://admin.masterlens.org/citation.php?referenceID=65&,149,317
