id,ra,dec,cluster
106,11.012080000000001,1.2201799999999998,1
11,45.62874999999999,0.10058333333333334,2
123,43.18838,0.6662100000000001,3
139,138.02212,0.48366000000000003,4
38,152.872875,1.723138888888889,5
59,203.89495833333334,1.3015277777777778,6
103,5.67049154,14.51956525,7
3,21.189999999999994,3.8516666666666666,8
2,21.184999999999995,3.8666666666666667,9
105,9.271704,9.163992,10
109,17.390539999999998,15.00903,11
4,22.805854166666663,43.97031666666667,12
13,63.65720833333333,5.578972222222222,13
126,63.65416999999999,5.57897,13
15,72.091625,12.465391666666665,14
24,125.41291666666666,12.29138888888889,15
22,121.59874999999998,20.108861111111114,16
21,117.92275,27.275375,17
23,123.38041666666665,25.750888888888888,18
141,141.23248700000002,2.323611,19
31,141.23279166666666,2.323583333333333,19
145,149.84068,2.1106700000000003,20
147,150.15948,2.6927351,21
50,174.51541666666662,3.2494444444444444,22
58,203.09425,3.7944166666666663,23
146,149.93361000000002,4.17139,24
26,133.22325,5.25425,25
138,137.8625,5.84778,26
28,137.86458333333334,5.847777777777777,26
49,172.98533333333333,4.9305,27
44,158.392,7.190416666666667,28
46,169.57083333333333,7.7660277777777775,29
93,319.21145833333327,2.4296944444444444,30
97,340.12641666666667,3.358,31
98,350.41999999999996,5.460111111111111,32
142,146.73617,10.11467,33
54,182.73816666666664,9.907111111111112,34
36,151.10375,12.489527777777777,35
66,213.9433333333333,11.494833333333332,36
60,208.2764583333333,11.634638888888889,37
62,210.39812499999996,15.223777777777778,38
81,253.67429166666662,13.772777777777778,39
137,137.796988,17.775539000000002,40
52,178.82624999999996,19.66172222222222,41
140,139.85927,27.347509999999996,42
32,147.84404166666667,26.587249999999997,43
43,157.30562499999996,26.392166666666665,44
69,216.15870833333332,22.9335,45
72,237.30154166666662,30.787944444444445,46
79,248.45412499999998,31.569972222222223,47
88,304.82562499999995,11.452305555555554,48
92,317.7250833333333,21.516861111111112,49
99,350.53,19.739722222222223,50
91,311.83479166666666,26.733666666666668,51
8,35.27284583333333,35.93716111111111,52
18,109.01491666666665,47.14722222222222,53
129,114.36855,32.27183,54
130,114.40166699999999,32.261194,55
19,115.71333333333332,36.57880555555556,56
20,116.72095833333331,44.064249999999994,57
17,98.80129166666666,51.950500000000005,58
131,125.05358000000001,48.79363,59
25,127.92329166666667,52.75472222222222,60
133,131.794375,34.807333,61
132,128.963558,39.439353000000004,62
30,140.303375,45.48455555555556,63
37,151.1454583333333,41.21188888888889,64
149,151.143142867,41.2121094213,64
42,156.14416666666665,47.153055555555554,65
47,172.50054166666663,38.20086111111112,66
53,181.62354166666665,43.53822222222222,67
135,135.89561203,50.47204106,68
27,135.8955,50.472,68
29,138.254375,52.99134166666667,69
35,150.36920833333332,50.465805555555555,70
144,149.12406000000001,51.00186,71
41,155.29591666666664,49.22511111111111,72
34,150.33658333333332,55.89705555555555,73
148,150.33700000000002,55.897059999999996,73
51,178.82229166666664,63.772777777777776,74
56,189.20416666666662,62.20611111111111,75
73,239.29970833333329,37.359972222222225,76
74,240.4185416666666,43.279944444444446,77
80,252.68099999999993,42.862500000000004,78
65,212.83166666666665,52.19138888888889,79
67,214.105,52.24194444444444,80
68,214.40212499999996,52.44444444444444,81
64,211.60341666666665,61.444694444444444,82
63,210.6175833333333,63.35925,83
70,230.43679166666664,52.9135,84
71,235.8370833333333,53.864444444444445,85
75,242.3081666666666,65.54138888888889,86
76,247.55375,82.49972222222222,87
77,247.7195833333333,82.50333333333333,88
82,271.9445833333333,45.99888888888889,89
85,293.6289583333333,50.42322222222222,90
86,294.6049583333333,66.8145,91
7,29.672666666666665,-43.417833333333334,92
101,3.595917,-30.352721999999996,93
102,3.6094169999999997,-30.382194000000002,94
107,12.4247466667,-27.874019721999996,95
0,12.424541666666665,-27.873805555555556,95
108,12.6155,-17.66889,96
1,12.615958333333333,-17.66911111111111,96
5,23.648625,-9.517472222222223,97
6,26.318749999999998,-9.754722222222222,98
111,26.73337065,-9.49791496,99
110,30.54375,-11.153244,100
16,78.54491666666665,-33.43958333333333,101
128,104.65791999999999,-55.95,102
96,338.21208333333334,-60.54527777777778,103
90,308.4253333333333,-47.39527777777778,104
89,306.5434583333333,-45.607527777777776,105
84,279.61875,-34.461555555555556,106
95,330.3866666666666,-32.028888888888886,107
9,38.137916666666655,-21.290555555555557,108
12,53.159249999999986,-27.948027777777778,109
125,53.15920799999999,-27.948110999999997,109
118,34.7589417,-8.4929924,110
116,34.21893,-8.22927,111
122,41.64207561,-8.42670704,112
10,41.64212499999999,-8.426722222222221,112
14,69.56208333333332,-12.287333333333333,113
127,69.5615,-12.28722,113
121,36.442207,-7.627366499999999,114
112,32.372207,-6.7197942,115
119,35.463249,-6.7924055999999995,116
113,33.199292,-5.931166999999999,117
114,33.533626,-5.592330400000001,118
117,34.4049225,-5.2248211,119
115,33.5467033,-4.0841055,120
120,36.296005,-4.9092998,121
40,154.35054166666663,-20.783444444444445,122
45,166.63937499999997,-18.356722222222224,123
57,193.27791666666664,-29.241666666666667,124
61,208.93074999999996,-22.95636111111111,125
48,172.96499999999997,-12.5325,126
94,328.031,-27.53061111111111,127
83,278.41641666666663,-21.061027777777777,128
87,301.02945833333325,-13.825194444444444,129
39,153.0654583333333,-3.1172222222222223,130
104,7.2824,-0.93071,131
100,2.01231,-0.06896000000000001,132
124,52.55052,-0.34775,133
143,148.75,-1.50139,134
33,148.75004166666665,-1.5013888888888889,134
134,133.693954,-1.3602999,135
136,136.03320300000001,-0.9980139000000001,136
78,248.24033333333333,-0.5558611111111111,137
55,186.53374999999997,-0.10055555555555556,138
