system_name,discovery_date,ra_hrs,ra_mins,ra_secs,ra_coord,dec_degrees,dec_arcmin,dec_arcsec,dec_coord,lensgrade,number_images,theta_e,theta_e_err,z_lens,z_lens_err,z_source,z_source_err,vdisp,vdisp_err
CSWA3,2008-07-01,12,40,32.28,190.1345157,+45,09,02.85,45.15079076,,1,2.9,0.1,0.274,0.001,0.725,0.001,NaN,NaN
CSWA5.2,2010-08-01,12,44,51.02,191.21257821,+01,06,44,1.11222194,,0,NaN,NaN,0.388,NaN,1.0686,NaN,NaN,NaN
CSWA5.1,2010-08-01,12,44,51.36,191.21400615,+01,06,42.96,1.11193257,,0,NaN,NaN,NaN,NaN,1.0686,NaN,NaN,NaN
SDSSJ1246+0440,2006-07-01,12,46,45.600,191.69001,+04,40,25.00,+4.67361,B,2,0.91,0.01,0.16861,0.00004,0.465,0.001,223,14
SDSSJ1250+0523,2006-02-01,12,50,28.25,192.61772,+05,23,49.13,+5.39698,A,8,1.1299,0.0007,0.23176,0.00004,0.795,0.001,246,15
SDSSJ1250-0135,2008-08-01,12,50,50.52,192.71050,-01,35,31.67,-1.59213,B,2,NaN,NaN,0.08707,0.00002,0.353,0.001,236,9
SDSSJ1251+2935,2007-10-01,12,51,07.57,192.78156013,+29,35,40.5,+29.59458506,A,4,0.88,NaN,0.410,NaN,0.80213,0.00008,NaN,NaN
SDSSJ1251-0208,2006-02-01,12,51,35.7,192.89877,-02,08,5.17,-2.13477,A,2,0.82,0.03,0.22432,0.00005,0.784,0.001,212,23
HSTJ12531-2914,1995-11-01,12,53,06,193.275,-29,14,30.000,-29.24167,A,4,0.64,NaN,0.69,NaN,NaN,NaN,NaN,NaN
SDSSJ1254+2235,2009-05-01,12,54,18.94,193.57895411,+22,35,36.5,+22.59348404,A,2,0.787,NaN,NaN,NaN,3.626,0.002,NaN,NaN
SDSSJ1258+1657,2009-05-01,12,58,19.24,194.58016909,+16,57,17.6,+16.95489576,A,2,0.565,NaN,0.505,NaN,2.701,0.002,NaN,NaN
SDSSJ1259+6134,2006-02-01,12,59,19.06,194.82942,+61,34,8.58,+61.56905,B,1,NaN,NaN,0.23324,0.00004,0.449,0.001,266,19
ACSJ130042.73+280523.3,2012-06-15,13,00,42.73,195.178042,+28,05,23.3,+28.089806,B,1,1.08,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1304+2001,2010-04-01,13,04,43.58,196.18160996,+20,01,04.2,+20.0178397,A,2,0.987,NaN,0.373,NaN,2.175,0.002,NaN,NaN
SDSSJ1306+0600,2009-11-01,13,06,13.66,196.55690,+06,00,22.14,+6.00615,A,2,NaN,NaN,0.17297,0.00004,0.472,0.001,257,17
Abell1689,1995-06-01,13,11,29.5,197.872917,-01,20,28,-1.341111,A,0,50,NaN,0.1867,NaN,NaN,NaN,NaN,NaN
SDSSJ1313+4615,2009-11-01,13,13,2.92,198.26216,+46,15,13.61,+46.25378,A,2,NaN,NaN,0.18479,0.00004,0.514,0.001,255,15
SDSSJ1313+0506,2008-08-01,13,13,26.7,198.36125,+05,06,57.24,+5.1159,B,2,0.53,0.23,0.14383,0.00003,0.339,0.001,252,16
SDSSJ1313+5151,2007-11-01,13,13,39.98,198.41660466,+51,51,28.4,+51.8579021,A,2,0.6,NaN,0.194,NaN,1.877,0.002,NaN,NaN
Abell1703,2009-04-01,13,15,00.7,198.752917,+51,49,10.0,+51.819444,A,0,27.4,NaN,0.277,NaN,2.627,NaN,NaN,NaN
SDSSJ1315+5439,2012-03-01,13,15,09.30,198.78875,+54,37,51.8,+54.631056,A,0,16.9,NaN,0.588,NaN,NaN,NaN,NaN,NaN
SDSSJ1318+3942,2010-12-01,13,18,11.51,199.54796,+39,42,26.96,39.70749,A,2,8.5,0.1,0.4751,0.0002,2.9437,0.0003,347,46
SDSSJ1318-0104,2011-12-15,13,18,29.39,199.62246,-01,04,21.65,-1.07268,A,2,0.679,0.001,0.6591,0.0002,1.396,0.001,177,27
SDSSJ1318-0313,2009-11-01,13,18,39.33,199.66386,-03,13,34.25,-3.22618,A,2,NaN,NaN,0.23965,0.00005,1.300,0.001,242,17
SDSSJ1319+1504,2009-11-01,13,19,32.49,199.88538,+15,04,26.04,+15.0739,A,2,NaN,NaN,0.15369,0.00004,0.606,0.001,240,15
SDSSJ1320+1644,2009-05-01,13,20,59.17,200.24655095,+16,44,02.5,16.73405341,B,0,4.3,NaN,0.899,NaN,1.502,0.002,NaN,NaN
SDSSJ1321-0115,2011-11-00,13,21,15.86,200.31609,-01,15,18,-1.255,C,1,NaN,NaN,0.10773,0.00003,0.211,0.001,181,11
SDSSJ1322+1052,2008-02-01,13,22,36.41,200.65174316,+10,52,39.4,+10.87761449,A,2,1.03,NaN,0.55,NaN,1.71602,0.002,NaN,NaN
GHO132029+3155,2012-03-01,13,22,48.77,200.703208,+31,39,17.8,+31.654944,A,0,21.5,NaN,0.308,NaN,NaN,NaN,NaN,NaN
RXCJ1327.0+0211,2011-03-01,13,27,01.01,201.754208,+02,12,19.5,+2.205417,A,0,NaN,NaN,0.259,NaN,0.991,NaN,NaN,NaN
SDSSJ1329+2243,2012-03-01,13,29,34.49,202.393708,+22,43,16.2,+22.721167,A,0,10.9,NaN,0.443,NaN,2.040,NaN,NaN,NaN
SDSSJ1330+1810,2008-12-01,13,30,18.64,202.57769261,+18,10,32.1,+18.17559625,A,4,0.97,0.02,0.373,0.001,1.393,0.001,NaN,NaN
SDSSJ1330-0148,2006-02-01,13,30,45.53,202.68971,-01,48,41.62,-1.81156,B,1,NaN,NaN,0.08081,0.00003,0.711,0.001,183,9
SDSSJ1331+3638,2011-04-29,13,31,40.33,202.91804,+36,28,11.96,+36.46999,A,4,0.96,0.04,0.11333,0.00002,0.254,0.001,183,8
SDSSJ1332+0347,2007-01-01,13,32,22.62,203.0942702,+03,47,40.0,+3.79443544,A,2,0.465,NaN,0.191,NaN,1.438,0.002,NaN,NaN
SDSSJ1334+3315,2011-09-01,13,34,01.39,203.50582173,+33,15,34.3,33.25953773,A,2,0.40,NaN,0.557,NaN,2.4178,0.0002,NaN,NaN
LBQS1333+0113,2004-04-01,13,35,34.79,203.89496792,+01,18,05.5,+1.30154919,A,2,0.78,NaN,0.440,NaN,1.571,0.002,NaN,NaN
SDSSJ1337+3620,2011-12-15,13,37,51.31,204.46380,+36,20,18.06,+36.33835,A,2,1.386,0.001,0.5643,0.0001,1.182,0.001,225,35
SDSSJ1339+1310,2009-05-01,13,39,07.13,204.77974079,+13,10,39.6,+13.17767316,A,2,0.853,NaN,NaN,NaN,2.241,0.003,NaN,NaN
CSWA28,2009-12-01,13,43,32.85,205.88688803,+41,55,3.48,41.91763425,A,1,NaN,NaN,0.418,0.001,2.093,0.002,NaN,NaN
SDSSJ1344+3258,2012-01-00,13,44,27.96,206.1165,+32,58,24.6,+32.9735,C,1,NaN,NaN,0.47495,0.00010,0.9777,0.0001,159,18
NSCJ134610+030555,2008-02-01,13,46,03.53,206.514708,+03,09,31.0,+3.158611,A,0,NaN,NaN,0.232,NaN,NaN,NaN,NaN,NaN
SDSSJ1347-0101,2011-02-01,13,47,04.96,206.770667,-01,01,03.52,-1.017644,A,2,0.42,0.01,0.3969,0.0001,0.63,0.01,163,36
SDSSJ1349+3612,2011-12-15,13,49,10.3,207.29292,+36,12,39.74,+36.21104,A,2,0.750,0.001,0.4396,0.0001,0.893,0.001,178,18
SDSSJ1349+1227,2010-04-01,13,49,29.84,207.37435334,+12,27,06.8,+12.45191285,A,2,1.399,NaN,NaN,NaN,1.722,0.002,NaN,NaN
SDSSJ1352+3216,2011-12-15,13,52,18.99,208.07913,+32,16,51.78,+32.28105,A,2,1.823,0.001,0.4634,0.0001,1.034,0.001,161,21
SDSSJ1353+1138,2006-04-01,13,53,06.34,208.27644261,+11,38,04.7,+11.63464297,A,2,0.71,NaN,0.3,NaN,1.6266,0.0002,NaN,NaN
ACSJ135401.12-123450.4,2012-06-15,13,54,01.12,208.504667,-12,34,50.4,-12.580667,C,1,2.95,0.01,NaN,NaN,NaN,NaN,NaN,NaN
Q1355-2257,2006-04-01,13,55,43,208.92917,-22,57,22.000,-22.95611,A,2,2.92,0.01,0.701,0.001,1.373,0.001,NaN,NaN
SL2SJ135649+552707,2011-09-08,13,56,49.33,209.205535,+55,27,7.00,+55.451946,C,4,3.7,NaN,0.46,0.03,NaN,NaN,NaN,NaN
SL2SJ135725+531744,2011-09-08,13,57,25.48,209.356170,+53,17,43.96,+53.295543,B,1,3.5,NaN,0.54,0.02,NaN,NaN,NaN,NaN
SL2SJ135847+545913,2013-07-01,13,58,47.98,209.699917,+54,59,13.0,+54.986944,A,3,1.21,0.04,0.510,0.001,NaN,NaN,NaN,NaN
SL2SJ135947+553538,2011-09-08,13,59,47.26,209.946914,+55,35,37.57,+55.593769,C,2,2.2,NaN,0.87,0.04,NaN,NaN,NaN,NaN
SL2SJ135949+553550,2013-00-00,13,59,49.61,209.956708,+55,35,50.4,+55.597333,A,4,1.14,0.03,0.783,0.001,2.77,0.01,NaN,NaN
MS1358.4+6245,2011-05-01,13,59,50.55,209.960625,+62,31,05.00,+62.518056,A,0,21,3,0.33,NaN,NaN,NaN,NaN,NaN
SDSSJ1400+3134,2009-05-01,14,00,12.77,210.05322186,+31,34,54.1,+31.58170141,A,2,0.79,NaN,NaN,NaN,3.317,0.001,NaN,NaN
SL2SJ140040+560749,2011-09-08,14,00,40.17,210.167373,+56,07,49.41,+56.130390,B,2,3.7,NaN,0.42,0.03,NaN,NaN,NaN,NaN
SL2SJ140110+565421,2011-09-08,14,01,10.46,210.293579,+56,54,20.51,+56.905696,A,4,3.7,NaN,0.53,0.03,NaN,NaN,NaN,NaN
SL2SJ140123+555705,2010-08-18,14,01,23.19,210.3466339,+55,57,5.4,55.9514999,A,1,1.74,0.07,0.5263,0.001,NaN,NaN,NaN,NaN
B1359+154,1999-06-01,14,01,35.53,210.39803,+15,13,25.61,15.22378,A,6,1.71,0.01,NaN,NaN,3.235,0.001,NaN,NaN
SL2SJ140145+530210,2011-09-08,14,01,44.90,210.437088,+53,02,9.62,+53.036006,B,1,3.0,NaN,0.56,0.03,NaN,NaN,NaN,NaN
SL2SJ140156+554447,2011-09-08,14,01,56.39,210.484954,+55,44,46.78,+55.746326,A,2,2.03,0.06,0.464,0.001,NaN,NaN,NaN,NaN
SL2SJ140221+550534,2013-07-01,14,02,21.52,210.589667,+55,05,34.9,+55.093028,A,2,1.23,0.04,0.4122,0.0001,NaN,NaN,262,30
WFC3J140221.89+094520.16,2012-06-15,14,02,21.89,210.591208,+09,45,20.16,+9.7556,C,2,1.04,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1402+6321,2006-02-01,14,02,28.22,210.61757,+63,21,33.48,+63.3593,A,2,1.3468,0.0017,0.20456,0.00004,0.481,0.001,268,15
ACSJ140237.11+542716.4,2012-06-15,14,02,37.11,210.654625,+54,27,16.4,+54.454556,A,1,1.85,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SL2SJ140248+570852,2011-09-08,14,02,47.90,210.699584,+57,08,52.04,+57.147789,C,3,3.2,NaN,1.22,0.04,NaN,NaN,NaN,NaN
SDSSJ1403+0006,2008-08-01,14,03,29.49,210.87287,+00,06,41.36,+0.11149,A,6,0.830,0.004,0.18878,0.00005,0.473,0.001,205,16
ACSJ140339.94+541633.3,2012-06-15,14,03,39.94,210.916417,+54,16,33.3,+54.275917,A,1,0.90,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SL2SJ140352+572350,2011-09-08,14,03,51.68,210.965332,+57,23,50.41,+57.397335,C,1,0.0,NaN,0.51,0.03,NaN,NaN,NaN,NaN
SL2SJ140454+520025,2011-09-08,14,04,54.46,211.226913,+52,00,24.70,+52.006862,A,4,2.55,0.08,0.456,0.001,1.59,0.01,NaN,NaN
SDSSJ1405+0959,2012-01-01,14,05,15.42,211.31425519,+09,59,31.3,9.99202973,A,2,0.99,NaN,0.66,NaN,1.810,0.001,NaN,NaN
SL2SJ140533+550231,2013-07-01,14,05,33.83,211.390958,+55,02,31.1,+55.041972,A,4,1.05,0.07,NaN,NaN,NaN,NaN,NaN,NaN
SL2SJ140546+524311,2013-07-01,14,05,46.22,211.442583,+52,43,11.2,+52.719778,A,4,1.51,0.05,0.526,0.001,3.01,0.01,NaN,NaN
SL2SJ140554+544549,2011-09-08,14,05,54.33,211.476379,+54,45,48.68,+54.763523,A,2,2.8,NaN,0.41,0.03,NaN,NaN,NaN,NaN
SL2SJ140614+520252,2010-08-18,14,06,14.25,211.5593872,+52,02,53.45,52.0481796,B,1,4.36,0.16,0.4798,0.001,NaN,NaN,NaN,NaN
SDSSJ1406+6126,2007-01-01,14,06,24.82,211.60344912,+61,26,40.9,+61.44469838,A,2,0.97,NaN,0.271,NaN,2.133820,0.002,NaN,NaN
SL2SJ140650+522619,2013-07-01,14,06,50.33,211.709708,+52,26,19.1,+52.438639,A,1,0.94,0.03,0.716,0.001,1.47,0.01,NaN,NaN
SL2SJ140814+542908,2011-09-08,14,08,13.82,212.057586,+54,29,8.12,+54.485588,A,2,8.0,NaN,0.48,0.02,NaN,NaN,NaN,NaN
SDSSJ1410+0205,2011-11-00,14,10,17.6,212.57333,+02,05,28.14,+2.09115,C,2,NaN,NaN,0.12674,0.00004,0.734,0.001,169,13
HSTJ14113+5211,1998-08-01,14,11,19.56,212.8315,+52,11,29.0,+52.19139,A,4,NaN,NaN,0.465,0.001,2.811,0.001,NaN,NaN
SL2SJ141121+521210,2011-09-08,14,11,20.53,212.835540,+52,12,9.91,+52.202751,C,1,18.4,NaN,0.52,0.03,NaN,NaN,NaN,NaN
SL2SJ141137+565119,2010-08-18,14,11,37.04,212.9043427,+56,51,19.07,56.8552971,A,1,0.93,0.03,0.3218,0.001,1.420,0.001,228,20
SL2SJ141355+534345,2011-09-08,14,13,55.43,213.480957,+53,43,44.72,+53.729087,C,2,2.4,NaN,0.29,0.03,NaN,NaN,NaN,NaN
SL2SJ141447+544704,2011-09-08,14,14,47.19,213.696624,+54,47,3.59,+54.784332,A,1,14.7,NaN,0.63,0.02,NaN,NaN,NaN,NaN
H1413+117,1988-07-01,14,15,46,213.94167,+11,29,41,+11.49472,A,4,1.35,0.01,2.5197,0.0001,2.55,0.01,NaN,NaN
SDSSJ1416+5136,2008-08-01,14,16,22.35,214.09311,+51,36,30.46,+51.60846,A,5,1.368,0.002,0.29868,0.00007,0.811,0.001,230,22
HSTJ14164+5215,1999-05-01,14,16,25,214.10417,+52,14,31,+52.24194,C,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SL2SJ141645+564216,2011-09-08,14,16,44.52,214.185501,+56,42,16.18,+56.704494,C,1,3.5,NaN,1.29,0.16,NaN,NaN,NaN,NaN
ACSJ141649.81+522951.7,2012-06-15,14,16,49.81,214.207542,+52,29,51.7,+52.497694,B,1,0.34,0.01,NaN,NaN,NaN,NaN,NaN,NaN
ACSJ141657.72+433026.3,2012-06-15,14,16,57.72,214.2405,+43,30,26.3,+43.507306,B,1,0.78,0.01,NaN,NaN,NaN,NaN,NaN,NaN
ACSJ141710.17+433133.2,2012-06-15,14,17,10.17,214.292375,+43,31,33.2,+43.525889,A,1,2.14,0.01,NaN,NaN,NaN,NaN,NaN,NaN
HSTJ14176+5226,1995-11-01,14,17,35.76,214.399,+52,26,45.6,52.446,A,4,1.5,0.1,0.81,0.01,3.4,0.1,NaN,NaN
HSTJ1418+5236,2006-07-01,14,18,20.77,214.586542,+52,36,11.3,+52.603139,A,4,0.67,0.01,0.5798,0.0001,0.9818,0.0001,261,NaN
HSTJ1418+5243,2006-07-01,14,18,33.11,214.637958,+52,43,52.6,+52.731278,A,2,0.83,0.01,0.4625,0.001,NaN,NaN,250,NaN
SL2SJ141912+532611,2011-09-08,14,19,12.17,214.800704,+53,26,11.44,+53.436511,A,1,9.9,NaN,0.69,0.02,NaN,NaN,NaN,NaN
SL2SJ141917+511729,2011-09-08,14,19,17.25,214.821868,+51,17,28.63,+51.291286,A,1,3.11,0.26,0.47,0.03,NaN,NaN,NaN,NaN
SL2SJ142003+523137,2013-07-01,14,20,03.39,215.014125,+52,31,37.8,+52.527167,A,1,1.79,0.09,0.354,0.001,1.41,0.01,NaN,NaN
SDSSJ1420+6019,2006-02-01,14,20,15.85,215.06604,+60,19,14.81,+60.32078,A,4,1.0424,0.0004,0.06291,0.00001,0.535,0.001,199,4
ACSJ142028.48+525541.5,2012-06-15,14,20,28.48,215.118667,+52,55,41.5,+52.928194,B,1,0.61,0.01,NaN,NaN,NaN,NaN,NaN,NaN
WFC3J142030.50+530249.23,2012-06-15,14,20,30.50,215.127083,+53,02,49.23,+53.047008,C,1,0.73,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SL2SJ142031+525822,2013-07-01,14,20,31.80,215.1325,+52,58,22.0,+52.972778,B,1,0.96,0.14,0.380,0.001,0.99,0.01,NaN,NaN
SDSSJ1420+3955,2012-03-01,14,20,40.33,215.168042,+39,55,09.8,+39.919389,A,0,9.9,NaN,0.607,NaN,2.161,NaN,NaN,NaN
SL2SJ142059+563007,2013-07-01,14,20,59.85,215.249375,+56,30,07.4,+56.502056,A,10,1.40,0.04,0.483,0.001,3.12,0.01,NaN,NaN
SL2SJ142103+522943,2011-09-08,14,21,2.56,215.260665,+52,29,42.51,+52.495140,C,1,11.7,NaN,0.18,0.01,NaN,NaN,NaN,NaN
SL2SJ142118+525022,2011-09-08,14,21,18.35,215.326461,+52,50,22.37,+52.839546,B,2,2.8,NaN,0.47,0.05,NaN,NaN,NaN,NaN
ACSJ142158.70+531045.9,2012-06-15,14,21,58.70,215.494583,+53,10,45.9,+53.179417,C,1,0.82,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SL2SJ142258+512439,2011-09-08,14,22,58.34,215.743087,+51,24,39.50,+51.410972,C,1,1.9,NaN,0.74,0.04,NaN,NaN,NaN,NaN
SL2SJ142321+572243,2013-07-01,14,23,21.90,215.84125,+57,22,43.0,+57.378611,A,1,1.30,0.14,NaN,NaN,NaN,NaN,NaN,NaN
MACSJ1423.8+2404,2007-03-01,14,23,47.663,215.948596,+24,04,40.14,24.077817,A,0,20,2,0.543,NaN,NaN,NaN,1300,170
SL2SJ142349+572634,2011-09-08,14,23,49.27,215.955291,+57,26,33.90,+57.442749,C,1,2.2,NaN,0.69,0.06,NaN,NaN,NaN,NaN
B1422+231,1992-11-01,14,24,38,216.15833,+22,56,00.6,+22.9335,A,4,0.66,0.01,0.34,0.01,3.62,0.01,NaN,NaN
SL2SJ142544+570724,2011-09-08,14,25,44.27,216.434463,+57,07,24.47,+57.123462,B,1,4.5,NaN,0.86,0.04,NaN,NaN,NaN,NaN
SL2SJ142608+574524,2011-09-08,14,26,8.04,216.533493,+57,45,23.90,+57.756637,C,1,3.2,NaN,0.39,0.03,NaN,NaN,NaN,NaN
IDCSJ1426.5+3508,2012-07-01,14,26,32.95,216.637292,+35,08,23.6,+35.139889,A,0,NaN,NaN,1.75,NaN,NaN,NaN,NaN,NaN
SL2SJ142731+551645,2013-07-01,14,27,31.28,216.880333,+55,16,45.2,+55.279222,A,4,0.81,0.03,0.511,0.001,2.58,0.01,NaN,NaN
SL2SJ142811+563948,2011-09-08,14,28,10.54,217.043914,+56,39,48.36,+56.663433,C,1,4.1,NaN,0.80,0.28,NaN,NaN,NaN,NaN
SL2SJ142835+521306,2011-09-08,14,28,34.82,217.145080,+52,13,6.44,+52.218456,C,1,5.0,NaN,0.52,0.03,NaN,NaN,NaN,NaN
SL2SJ143001+554648,2011-09-08,14,30,0.65,217.502700,+55,46,47.97,+55.779991,A,4,4.3,NaN,0.55,0.02,NaN,NaN,NaN,NaN
HSTJ143001.28+410440.8,2009-05-01,14,30,1.29,217.505375,+41,04,40.8,+41.07800,A,2,1.31,0.07,0.32,0.01,1.38,0.56,NaN,NaN
SDSSJ1430+4105,2008-08-01,14,30,4.10,217.51704,+41,05,57.10,+41.0992,A,8,1.5194,0.0006,0.28492,0.00008,0.575,0.001,294,30
SL2SJ143140+553323,2011-09-08,14,31,39.77,217.915710,+55,33,22.81,+55.556335,B,1,3.0,NaN,0.71,0.03,NaN,NaN,NaN,NaN
SL2SJ143153+572837,2011-09-08,14,31,52.67,217.969451,+57,28,36.73,+57.476867,C,1,3.5,NaN,0.83,0.03,NaN,NaN,NaN,NaN
SDSSJ1432+6317,2008-08-00,14,32,13.34,218.05560,+63,17,3.77,+63.28438,A,2,1.26,0.01,0.12300,0.00002,0.664,0.001,193,8
SL2SJ143404+512136,2011-09-08,14,34,3.87,218.516128,+51,21,36.07,+51.360019,C,1,2.6,NaN,0.39,0.02,NaN,NaN,NaN,NaN
SL2SJ143435+565920,2011-09-08,14,34,34.69,218.644546,+56,59,20.17,+56.988937,C,1,4.1,NaN,0.57,0.02,NaN,NaN,NaN,NaN
ACSJ143542.20+342841.9,2012-06-15,14,35,42.20,218.925833,+34,28,41.9,+34.478306,C,1,0.96,0.01,NaN,NaN,NaN,NaN,NaN,NaN
SDSSJ1436+3640,2009-11-00,14,36,5.63,219.02345,+36,40,47.17,+36.67977,A,0,NaN,NaN,0.18462,0.00004,0.758,0.001,255,17
SDSSJ1436-0000,2008-08-00,14,36,27.54,219.11476,-00,00,29.2,-0.00811,A,2,1.12,0.01,0.28521,0.00005,0.805,0.001,218,17
WFC3J143703.21+350153.55,2012-06-15,14,37,03.21,219.263375,+35,01,53.55,+35.031542,A,1,0.69,0.01,NaN,NaN,NaN,NaN,NaN,NaN
ACSJ144000.07+313123.5,2012-06-15,14,40,00.07,220.000292,+31,31,23.5,+31.523194,B,1,0.60,0.01,NaN,NaN,NaN,NaN,NaN,NaN
CSWA20,2010-03-01,14,41,49.15,220.4548069,+14,41,20.57,14.68904854,,4,0.4,0.1,0.741,0.001,1.433,0.001,500,1
SDSSJ1443+0304,2008-08-00,14,43,19.62,220.83174,+03,04,8.29,+3.06897,A,1,0.81,0.01,0.13383,0.00003,0.419,0.001,222,11
SDSSJ1446-0248,2006-07-01,14,46,2.63,221.51095,-02,48,27.9,-2.80775,B,2,0.865,0.001,0.20645,0.00005,0.697,0.001,159,14
